0;0;bing liu;;web data mining exploring hyperlinks contents and usage data;14047;1762557;2007
1;0;bing liu;yang genxing,shi baile,yan heping,wang wei,yang xiaoming;controlling fd and mvd inferences in mls;017C99DB;42C62517;2005
2;0;bing liu;haofeng zhou,wei wang,yongsheng xue,jiangjiao duan,baile shi;incorporating with recursive model training in time series clustering;16414;42C62517;2005
3;0;bing liu;lili lin,baile shi,yuliang shi,fangfang liu,liang zhang;a formal specification for web services composition and verification;017C99DB;42C62517;2005
4;0;bing liu;xiaoming yang,wei wang,zhibin wang,bole shi,shouzhi zhang;non almost derivable frequent itemsets mining;017C99DB;42C62517;2005
5;0;bing liu;minqing hu;mining opinion features in customer reviews;0259891E;46A05BB0;2004
6;0;bing liu;minqing hu;opinion extraction and summarization on the web;0259891E;46A05BB0;2006
7;0;bing liu;nitin jindal;mining comparative sentences and relations;0259891E;46A05BB0;2006
8;0;bing liu;wynne hsu;post analysis of learned rules;09E3EE34;46A05BB0;1996
9;0;bing liu;wynne hsu,minqing hu;intuitive representation of decision trees using general rules and exceptions;09E3EE34;46A05BB0;2000
10;0;bing liu;joxan jaffar;using constraints to model disjunctions in rule based reasoning;09E3EE34;46A05BB0;1996
11;0;bing liu;xiaoli li,philip s yu,wee sun lee;text classification by labeling words;16884;46A05BB0;2005
12;0;bing liu;yanhong zhai;automatic wrapper generation using tree matching and partial tree alignment;17383;46A05BB0;2006
13;7;bing liu;ivan blecic,giuseppe a trunfio,arnaldo cecchini,wei zang,jian zhou;towards a multi agent model for planning and design of exposition spaces;06F892B4;46CC45CE;2008
14;8;bing liu;guoyi zhang,huaping chen,shijin xu;a grid based system for the multi reservoir optimal scheduling in huaihe river basin;078A8AE9;43F44683;2006
15;0;bing liu;yiyuan xia,philip s yu;clustering through decision tree construction;09E3EE34;472C6E2D;2000
16;0;bing liu;xin li;mining community structure of named entities from free text;0259891E;472C6E2D;2005
17;0;bing liu;xiaoli li,tongheng phang,minqing hu;using micro information units for internet search;0259891E;472C6E2D;2002
18;0;bing liu;chu xu,ke wang;clustering transactions using large items;09E3EE34;472C6E2D;1999
19;0;bing liu;kaidi zhao,weimin xiao,thomas m tirpak;opportunity map a visualization framework for fast identification of actionable knowledge;0259891E;472C6E2D;2005
20;10;bing liu;rosie jones,kristina lisa klinkner;measuring the meaning in time series clustering of text search queries;3333E44B;472C6E2D;2006
21;9;bing liu;lipo wang,chunru wan;a novel rbf neural network with fast training and accurate generalization;015BDFDA;45E5BC3F;2004
22;0;bing liu;yiming ma,ching kian wong;web for data mining applications;09E3EE34;44233F91;2000
23;0;bing liu;robert grossman,pavan kasturi,donald hamelberg;experimental studies of the universal chemical key uck algorithm on the nci database of chemical compounds;2657;45BD7739;2003
24;0;bing liu;haoran wu,gao cong,wee sun lee;semi supervised text classification using partitioned em;0259891E;469D149A;2004
25;0;bing liu;wynne hsu,yiyuan xia,hengsiew han;mining changes for real life applications;09E3EE34;433BF259;2000
26;0;bing liu;greeshma neglur,robert grossman;assigning unique keys to chemical compounds for data integration some interesting counter examples;0259891E;44F7486F;2005
27;0;bing liu;baohua gu,huan liu,feifang hu;efficiently determine the starting sample size for progressive sampling;09E3EE34;460A7036;2001
28;0;bing liu;;a reinforcement approach to schelduling;3895;454F686A;1988
29;0;bing liu;;intelligent route finding combining knowledge and cases and an efficient search algorithm;173;1904332;1996
