0;0;david e goldberg;;genetic algorithms in search optimization and machine learning;2812;549757;1989
1;0;david e goldberg;kumara sastry,yukio ohsawa;discovering deep building blocks for competent genetic algorithms using chance discovery via keygraphs;0966B229;913479;2003
2;0;david e goldberg;martin v butz;generalized state values in an anticipatory learning classifier system;0966B229;1856890;2003
3;0;david e goldberg;;little models big results;0966B229;46EF45E9;2005
4;0;david e goldberg;hussein a abbass,k v l n sastry;sub structural niching in non stationary environments;18896;46EF45E9;2005
5;0;david e goldberg;unamay oreilly;where does the good stuff go and why how contextual semantics influences program structure in simple genetic programming;0966B229;4413E269;1998
6;0;david e goldberg;kumara sastry,paul winward,c m r r lima;fluctuating crosstalk as a source of deterministic noise and its effects on ga scalability;0966B229;43F3068F;2006
7;0;david e goldberg;r e smith;variable default hierarchy separation in a classifier system;12617;451C6EC3;1991
8;0;david e goldberg;clayton l bridges;the nonuniform walsh schema transform;8075;451C6EC3;1991
9;0;david e goldberg;kalyanmoy deb;analyzing deception in trap functions;7898;451C6EC3;1993
10;0;david e goldberg;kalyanmoy deb;a comparative analysis of selection schemes used in genetic algorithms;0966B229;451C6EC3;1991
11;0;david e goldberg;james h clark,kalyanmoy deb;accounting for noise in the sizing of populations;1230;451C6EC3;1993
12;0;david e goldberg;georges r harik;learning linkage;12775;451C6EC3;1996
13;0;david e goldberg;jeffrey horn;genetic algorithm difficulty and the modality of fitness landscapes;8642;451C6EC3;1995
14;0;david e goldberg;jeffrey d horn;toward a control map for niching;5184;451C6EC3;1998
15;0;david e goldberg;hillol kargupta;search blackbox optimization and sample complexity;0966B229;451C6EC3;1996
16;0;david e goldberg;chang wook ahn,r s ramakrishna;real coded bayesian optimization algorithm bringing the strength of boa into the continuous world;0966B229;43F3068F;2004
17;0;david e goldberg;laura a albert;efficient discretization scheduling in multiple dimensions;0966B229;43F3068F;2002
18;0;david e goldberg;martin v butz;bounding the population size in xcs to ensure reproductive opportunities;0966B229;43F3068F;2003
19;0;david e goldberg;martin v butz,pier luca lanzi;bounding learning time in xcs;0966B229;43F3068F;2004
20;0;david e goldberg;martin v butz,pier luca lanzi;gradient based learning updates improve xcs performance in multistep problems;0966B229;43F3068F;2004
21;0;david e goldberg;martin v butz,xavier llora,martin pelikan;extracted global structure makes local building block processing effective in xcs;0966B229;43F3068F;2005
22;0;david e goldberg;kumara sastry,martin v butz;tournament selection stable fitness pressure in xcs;0966B229;43F3068F;2003
